Player,Cost
alugo3,11
Bassna,1
BigRedRobotOfDoom,30
Borg,100
Buck,62
ChaseJake,32
chesamo,0
Cool_D,34
DavidBengt,109
DaybridgeGhost,60
Denver.dash,4
Dinoman715,6
Dwangler,72
enigmaticeva,131
EVR-1,0
Fancyam,63
farrerz,16
Fastrabbit17,80
for2dk,12
GoodBet,156
Hoborg,30
jamlikejelly,20
jongyi12,115
joshie,121
Kimbah,12
Loaded_Lemons,113
mch,21
michaelholland2015,32
Omtzerioni,63
Ottolotl,112
pcfixit,45
PengoPlays,1
Pigsty55,11
plabick,3
Priscilla,109
rmmm1m,91
Robert_ssbn732,0
Scabbage,42
serra,80
Skelly,49
Smellykid83,101
Sparklingrabbit,55
StairChicken,160
The_Woman,0
thumperthegod,0
UnicornPrincess,18
unlistedgamer,0
WeedAndHops,36
Willybub,18